index,grade,reason,reference,text
172,B,,에베소서 1:7,우리가 그리스도 안에서 그의 은혜의 풍성함을 따라 그의 피로 말미암아 구속 곧 죄 사함을 받았으니
173,C,서사,누가복음 1:14,너도 기뻐하고 즐거워할 것이요 많은 사람도 그의 남을 기뻐하리니
174,B,,야고보서 5:13,너희 중에 고난 당하는 자가 있느냐? 저는 기도할 것이요 즐거워하는 자가 있느냐? 저는 찬송할지니라
175,B,,베드로전서 1:22,너희가 진리를 순종함으로 너희 영혼을 깨끗하게 하여 거짓이 없이 형제를 사랑하기에 이르렀으니 마음으로 뜨겁게 피차 사랑하라!
176,A,,마태복음 5:4,애통하는 자는 복이 있나니 저희가 위로를 받을 것임이요
177,C,인물,사무엘하 23:5,내 집이 하나님 앞에 이같지 아니하냐 하나님이 나로 더불어 영원한 언약을 세우사 만사에 구비하고 견고케 하셨으니 나의 모든 구원과 나의 모든 소원을 어찌 이루지 아니하시랴
178,C,인물,사무엘상 10:7,이 징조가 네게 임하거든 너는 기회를 따라 행하라! 하나님이 너와 함께 하시느니라!
179,C,인물,디모데전서 1:16,그러나 내가 긍휼을 입은 까닭은 예수 그리스도께서 내게 먼저 일절 오래 참으심을 보이사 후에 주를 믿어 영생 얻는 자들에게 본이 되게 하려 하심이니라
180,B,,역대상 16:8,너희는 여호와께 감사하며 그 이름을 불러 아뢰며 그 행사를 만민 중에 알게 할지어다
181,A,,갈라디아서 5:22,"오직 성령의 열매는 사랑과, 희락과, 화평과, 오래 참음과, 자비와, 양선과, 충성과,"
182,A,,출애굽기 20:12,네 부모를 공경하라! 그리하면 너의 하나님 나 여호와가 네게 준 땅에서 네 생명이 길리라
183,C,서사,여호수아 10:8,때에 여호와께서 여호수아에게 이르시되 그들을 두려워 말라 내가 그들을 네 손에 붙였으니 그들의 한 사람도 너를 당할 자 없으리라 하신지라
184,A,,골로새서 3:12,그러므로 너희는 하나님의 택하신 거룩하고 사랑하신 자처럼 긍휼과 자비와 겸손과 온유와 오래 참음을 옷입고
185,C,인물,디모데후서 2:10,그러므로 내가 택하신 자를 위하여 모든 것을 참음은 저희로도 그리스도 예수 안에 있는 구원을 영원한 영광과 함께 얻게 하여 함이로다
186,C,조각,디도서 2:11,모든 사람에게 구원을 주시는 하나님의 은혜가 나타나
187,C,서사,다니엘 6:27,그는 구원도 하시며 건져내기도 하시며 하늘에서든지 땅에서든지이적과 기사를 행하시는 자로서 다니엘을 구원하여 사자의 입에서 벗어나게 하셨음이니라 하였더라
188,B,,고린도전서 1:30,너희는 하나님께로부터 나서 그리스도 예수 안에 있고 예수는 하나님께로서 나와서 우리에게 지혜와 의로움과 거룩함과 구속함이 되셨으니
189,C,예언,에스겔 34:25,내가 또 그들과 화평의 언약을 세우고 악한 짐승을 그 땅에서 그치게 하리니 그들이 빈 들에 평안히 거하며 수풀 가운데서 잘찌라
190,C,서사,열왕기상 4:29,하나님이 솔로몬에게 지혜와 총명을 심히 많이 주시고 또 넓은 마음을 주시되 바닷가의 모래 같이 하시니
191,C,조각,데살로니가후서 1:11,이러므로 우리도 항상 너희를 위하여 기도함은 우리 하나님이 너희를 그 부르심에 합당한 자로 여기시고 모든 선을 기뻐함과 믿 음의 역사를 능력으로 이루게 하시고
192,C,화자,욥기 33:28,하나님이 내 영혼을 건지사 구덩이에 내려가지 않게 하셨으니 내 생명이 빛을 보겠구나 하리라
193,B,,요한일서 5:12,아들이 있는 자에게는 생명이 있고 하나님의 아들이 없는 자에게는 생명이 없느니라
194,A,,민수기 6:24,여호와는 네게 복을 주시고 너를 지키시기를 원하며
195,C,서사,창세기 26:29,너는 우리를 해하지 말라 이는 우리가 너를 범하지 아니하고 선한 일만 네게 행하며 너로 평안히 가게 하였음이니라 이제 너는 여호와께 복을 받은 자니라!
196,C,율법,레위기 11:45,나는 너희의 하나님이 되려고 너희를 애굽 땅에서 인도하여 낸 여호와라 내가 거룩하니 너희도 거룩할지어다!
197,C,난해,스가랴 8:19,"만군의 여호와가 말하노라 사월의 금식과, 오월의 금식과, 칠월의 금식이 변하여 유다 족속에게 기쁨과 즐거움과 희락의 절기가 되리니 오직 너희는 진실과 화평을 사랑할지니라!"
198,B,,전도서 7:14,형통한 날에는 기뻐하고 곤고한 날에는 생각하라 하나님이 이 두가지를 병행하게 하사 사람으로 그 장래 일을 능히 헤아려 알지 못하게 하셨느니라
199,A,,시편 100:4,감사함으로 그 문에 들어가며 찬송함으로 그 궁정에 들어가서 그에게 감사하며 그 이름을 송축할지어다
200,B,,이사야 60:19,다시는 낮에 해가 네 빛이 되지 아니하며 달도 네게 빛을 비취지 않을 것이요 오직 여호와가 네게 영영한 빛이 되며 네 하나님이 네 영광이 되리니
201,B,,잠언 13:14,지혜 있는 자의 교훈은 생명의 샘이라 사람으로 사망의 그물을 벗어나게 하느니라
202,B,,로마서 12:3,내게 주신 은혜로 말미암아 너희 중 각 사람에게 말하노니 마땅히 생각할 그 이상의 생각을 품지 말고 오직 하나님께서 각 사람에게 나눠주신 믿음의 분량대로 지혜롭게 생각하라
203,C,서사,신명기 1:21,너희 하나님 여호와께서 이 땅을 너희 앞에 두셨은즉 너희 열조의 하나님 여호와께서 너희에게 이르신 대로 올라가서 얻으라 두려워 말라! 주저하지 말라! 한즉
204,C,조각,고린도후서 4:15,모든 것을 너희를 위하여 하는 것은 은혜가 많은 사람의 감사함으로 말미암아 더하여 넘쳐서 하나님께 영광을 돌리게 하려 함이라
205,B,,요한복음 16:27,이는 너희가 나를 사랑하고 또 나를 하나님께로서 온 줄 믿은 고로 아버지께서 친히 너희를 사랑하심이니라
206,B,,히브리서 10:39,우리는 뒤로 물러가 침륜에 빠질 자가 아니요 오직 영혼을 구원함에 이르는 믿음을 가진 자니라
207,C,서사,사도행전 7:55,스데반이 성령이 충만하여 하늘을 우러러 주목하여 하나님의 영광과 및 예수께서 하나님 우편에 서신 것을 보고
208,C,조각,예레미야 15:16,"만군의 하나님 여호와시여, 나는 주의 이름으로 일컬음을 받는 자라 내가 주의 말씀을 얻어 먹었사오니 주의 말씀은 내게 기쁨과 내 마음의 즐거움이오나"
209,A,,빌립보서 4:4,주 안에서 항상 기뻐하라! 내가 다시 말하노니 기뻐하라!
210,C,서사,역대하 29:36,이 일이 갑자기 되었을찌라도 하나님이 백성을 위하여 예비하셨음을 인하여 히스기야가 백성으로 더불어 기뻐하였더라
211,C,조각,에베소서 2:7,이는 그리스도 예수 안에서 우리에게 자비하심으로써 그 은혜의 지극히 풍성함을 오는 여러 세대에 나타내려 하심이니라
212,C,서사,누가복음 17:19,그에게 이르시되 일어나 가라 네 믿음이 너를 구원하였느니라 하시더라
213,A,,야고보서 1:12,시험을 참는 자는 복이 있도다 이것이 옳다 인정하심을 받은 후에 주께서 자기를 사랑하는 자들에게 약속하신 생명의 면류관을 얻을 것임이니라
214,A,,베드로전서 4:10,각각 은사를 받은 대로 하나님의 각양 은혜를 맡은 선한 청지기 같이 서로 봉사하라
215,A,,마태복음 5:9,화평케 하는 자는 복이 있나니 저희가 하나님의 아들이라 일컬음을 받을 것임이요
216,B,,사무엘하 22:4,내가 찬송받으실 여호와께 아뢰리니 내 원수들에게서 구원을 얻으리로다
217,C,서사,사무엘상 7:8,사무엘에게 이르되 당신은 우리를 위하여 우리 하나님 여호와께 쉬지 말고 부르짖어 우리를 블레셋 사람의 손에서 구원하시게 하소서
218,B,,디모데전서 4:10,이를 위하여 우리가 수고하고 진력하는 것은 우리 소망을 살아계신 하나님께 둠이니 곧 모든 사람 특히 믿는 자들의 구주시라
219,B,,역대상 29:13,우리 하나님이여! 이제 우리가 주께 감사하오며 주의 영화로운 이름을 찬양하나이다
220,C,난해,갈라디아서 3:24,이같이 율법이 우리를 그리스도에게로 인도하는 몽학 선생이 되어 우리로 하여금 믿음으로 말미암아 의롭다 함을 얻게 하려 함이니라
221,C,서사,출애굽기 1:20,하나님이 그 산파들에게 은혜를 베푸시니라 백성은 생육이 번성하고 심히 강대하며
222,A,,여호수아 1:9,내가 네게 명한 것이 아니냐? 마음을 강하게 하고 담대히 하라! 두려워 말며 놀라지 말라! 네가 어디로 가든지 네 하나님 여호와가 너와 함께 하느니라! 하시니라
223,C,인사,골로새서 1:3,우리가 너희를 위하여 기도할 때마다 하나님 곧 우리 주 예수 그리스도의 아버지께 감사하노라
224,C,조각,디모데후서 2:1,내 아들아 그러므로 네가 그리스도 예수 안에 있는 은혜 속에서 강하고
225,C,조각,디도서 3:4,우리 구주 하나님의 자비와 사람 사랑하심을 나타내실 때에
226,C,인물,다니엘 12:13,너는 가서 마지막을 기다리라 이는 네가 평안히 쉬다가 끝날에는 네 업을 누릴 것임이니라
227,B,,고린도전서 14:33,하나님은 어지러움의 하나님이 아니시요 오직! 화평의 하나님이시니라
228,B,,에스겔 18:32,나 주 여호와가 말하노라 죽는 자의 죽는 것은 내가 기뻐하지 아니하노니 너희는 스스로 돌이키고 살지니라
229,C,서사,열왕기상 8:56,여호와를 찬송할지로다! 저가 무릇 허하신 대로 그 백성 이스라엘에게 태평을 주셨으니 그 종 모세를 빙자하여 무릇 허하신 그 선한 말씀이 하나도 이루지 않음이 없도다
230,C,조각,데살로니가후서 1:12,우리 하나님과 주 예수 그리스도의 은혜대로 우리 주 예수의 이름이 너희 가운데서 영광을 얻으시고 너희도 그 안에서 영광을 얻게 하려 함이니라
231,B,,시편 18:19,나를 또 넓은 곳으로 인도하시고 나를 기뻐하심으로 구원하셨도다
232,A,,이사야 32:17,의의 공효는 화평이요 의의 결과는 영원한 평안과 안전이라
233,A,,잠언 3:13,지혜를 얻은 자와 명철을 얻은 자는 복이 있나니
234,A,,로마서 10:9,네가 만일 네 입으로 예수를 주로 시인하며 또 하나님께서 그를 죽은 자 가운데서 살리신 것을 네 마음에 믿으면 구원을 얻으리니
235,B,,신명기 7:9,그런즉 너는 알라! 오직 네 하나님 여호와는 하나님이시요 신실하신 하나님이시라 그를 사랑하고 그 계명을 지키는 자에게는 천대까지 그 언약을 이행하시며 인애를 베푸시되
236,A,,고린도후서 1:3,찬송하리로다! 그는 우리 주 예수 그리스도의 하나님이시요 자비의 아버지시요 모든 위로의 하나님이시며
237,B,,요한복음 14:21,나의 계명을 가지고 지키는 자라야 나를 사랑하는 자니 나를 사랑하는 자는 내 아버지께 사랑을 받을 것이요 나도 그를 사랑하여 그에게 나를 나타내리라
238,A,,히브리서 12:2,믿음의 주요 또 온전케 하시는 이인 예수를 바라보자 저는 그 앞에 있는 즐거움을 위하여 십자가를 참으사 부끄러움을 개의치 아니하시더니 하나님 보좌 우편에 앉으셨느니라
239,C,서사,사도행전 18:9,밤에 주께서 환상 가운데 바울에게 말씀하시되 두려워하지 말며 잠잠하지 말고 말하라
240,C,인물,예레미야 39:18,내가 단정코 너를 구원할 것인즉 네가 칼에 죽지 아니하고 네 생명이 노략물을 얻음같이 되리니 이는 네가 나를 신뢰함이니라 여호와의 말이니라
241,C,인사,빌립보서 4:1,"그러므로 나의 사랑하고 사모하는 형제들,나의 기쁨이요 면류관인 사랑하는 자들아 이와 같이 주 안에 서라"
242,C,서사,역대하 20:30,여호사밧의 나라가 태평하였으니 이는 그 하나님이 사방에서 저희에게 평강을 주셨음이더라
243,C,인사,에베소서 6:23,아버지 하나님과 주 예수 그리스도에게로부터 평안과 믿음을 겸한 사랑이 형제들에게 있을지어다!
244,B,,누가복음 8:15,좋은 땅에 있다는 것은 착하고 좋은 마음으로 말씀을 듣고 지키어 인내로 결실하는 자니라
245,A,,야고보서 4:6,그러나 더욱 큰 은혜를 주시나니 그러므로 일렀으되 하나님이 교만한 자를 물리치시고 겸손한 자에게 은혜를 주신다 하였느니라
246,B,,베드로전서 1:5,너희가 말세에 나타내기로 예비하신 구원을 얻기 위하여 믿음으로 말미암아 하나님의 능력으로 보호하심을 입었나니
247,A,,마태복음 6:6,너는 기도할 때에 네 골방에 들어가 문을 닫고 은밀한 중에 계신 네 아버지께 기도하라 은밀한 중에 보시는 네 아버지께서 갚으시리라
248,B,,사무엘하 22:36,주께서 또 주의 구원의 방패를 내게 주시며 주의 온유함이 나를 크게 하셨나이다
249,C,서사,사무엘상 17:47,또 여호와의 구원하심이 칼과 창에 있지 아니함을 이 무리로 알게 하리라 전쟁은 여호와께 속한 것인즉 그가 너희를 우리 손에 붙이시리라
250,B,,디모데전서 2:5,하나님은 한 분이시요 또 하나님과 사람 사이에 중보도 한 분이시니 곧 사람이신 그리스도 예수라
251,C,인물,역대상 22:11,내 아들아 여호와께서 너와 함께 하시기를 원하며 네가 형통하여 여호와께서 네게 대하여 말씀하신 대로 여호와의 전을 건축하며
252,B,,갈라디아서 3:26,너희가 다 믿음으로 말미암아 그리스도 예수 안에서 하나님의 아들이 되었으니
253,A,,시편 46:1,하나님은 우리의 피난처시요 힘이시니 환난 중에 만날 큰 도움이시라
254,B,,이사야 12:1,그 날에 네가 말하기를 여호와여 주께서 전에는 내게 노하셨사오나 이제는 그 노가 쉬었고 또 나를 안위하시오니 내가 주께 감사하겠나이다 할 것이니라
255,B,,잠언 14:25,진실한 증인은 사람의 생명을 구원하여도 거짓말을 뱉는 사람은 속이느니라
256,A,,로마서 15:13,소망의 하나님이 모든 기쁨과 평강을 믿음 안에서 너희에게 충만케 하사 성령의 능력으로 소망이 넘치게 하시기를 원하노라
257,A,,신명기 5:16,너는 너의 하나님 여호와의 명한대로 네 부모를 공경하라! 그리하면 너의 하나님 여호와가 네게 준 땅에서 네가 생명이 길고 복을 누리리라!
258,C,난해,고린도후서 8:7,오직 너희는 믿음과 말과 지식과 모든 간절함과 우리를 사랑하는 이 모든 일에 풍성한 것같이 이 은혜에도 풍성하게 할지니라
259,A,,요한복음 14:27,평안을 너희에게 끼치노니 곧 나의 평안을 너희에게 주노라 내가 너희에게 주는 것은 세상이 주는 것 같지 아니하니라 너희는 마음에 근심도 말고 두려워하지도 말라
260,C,조각,히브리서 3:6,그리스도는 그의 집 맡은 아들로 충성하였으니 우리가 소망의 담대함과 자랑을 끝까지 견고히 잡으면 그의 집이라
261,C,서사,사도행전 11:23,저가 이르러 하나님의 은혜를 보고 기뻐하여 모든 사람에게 굳은 마음으로 주께 붙어 있으라 권하니
262,C,난해,예레미야 42:11,나 여호와가 말하노라 너희는 그 두려워하는 바벨론 왕을 두려워말라 내가 너희와 함께 하여 너희를 구원하며 그의 손에서 너희를 건지리니 두려워 말라
263,C,난해,빌립보서 1:18,그러면 무엇이뇨? 외모로 하나 참으로 하나 무슨 방도로 하든지 전파되는 것은 그리스도니 이로써 내가 기뻐하고 또한 기뻐하리라
264,C,서사,역대하 32:7,너희는 마음을 강하게하며 담대히 하고 앗수르 왕과 그 좇는 온 무리로 인하여 두려워 말며 놀라지 말라 우리와 함께하는 자가 저와 함께하는 자보다 크니
265,B,,에베소서 4:3,평안의 매는 줄로 성령의 하나되게 하신 것을 힘써 지키라
266,C,난해,누가복음 10:6,만일 평안을 받을 사람이 거기 있으면 너희 빈 평안이 그에게 머물것이요 그렇지 않으면 너희에게로 돌아 오리라
267,B,,야고보서 3:17,오직 위로부터 난 지혜는 첫째 성결하고 다음에 화평하고 관용하고 양순하며 긍휼과 선한 열매가 가득하고 편벽과 거짓이 없나니
268,C,난해,베드로전서 4:13,오직 너희가 그리스도의 고난에 참예하는 것으로 즐거워하라 이는 그의 영광을 나타내실 때에 너희로 즐거워하고 기뻐하게 하려 함이라
269,C,난해,마태복음 10:13,그 집이 이에 합당하면 너희 빈 평안이 거기 임할 것이요 만일 합당치 아니하면 그 평안이 너희에게 돌아올 것이니라
270,B,,사무엘하 22:3,"나의 하나님이시요, 나의 피할 바위시요, 나의 방패시요, 나의 구원의 뿔이시요, 나의 높은 망대시요, 나의 피난처시요, 나의 구원자시라! 나를 흉악에서 구원하셨도다"
271,A,,시편 13:5,나는 오직 주의 인자하심을 의뢰하였사오니 내 마음은 주의 구원을 기뻐하리이다
272,A,,이사야 41:10,두려워 말라 내가 너와 함께 함이니라 놀라지 말라 나는 네 하나님이 됨이니라 내가 너를 굳세게 하리라 참으로 너를 도와 주리라 참으로 나의 의로운 오른손으로 너를 붙들리라
273,B,,잠언 13:9,의인의 빛은 환하게 빛나고 악인의 등불은 꺼지느니라
274,B,,로마서 5:1,그러므로 우리가 믿음으로 의롭다 하심을 얻었은즉 우리 주 예수 그리스도로 말미암아 하나님으로 더불어 화평을 누리자
275,C,조각,신명기 11:13,내가 오늘날 너희에게 명하는 나의 명령을 너희가 만일 청종하고 너희의 하나님 여호와를 사랑하여 마음을 다하고 성품을 다하여 섬기면
276,A,,고린도후서 1:4,우리의 모든 환난 중에서 우리를 위로하사 우리로 하여금 하나님께 받는 위로로써 모든 환난 중에 있는 자들을 능히 위로하게 하시는 이시로다
277,C,난해,요한복음 8:29,나를 보내신 이가 나와 함께 하시도다 내가 항상 그의 기뻐하시는 일을 행하므로 나를 혼자 두지 아니하셨느니라
278,A,,히브리서 4:16,그러므로 우리가 긍휼하심을 받고 때를 따라 돕는 은혜를 얻기 위하여 은혜의 보좌 앞에 담대히 나아갈 것이니라
279,B,,사도행전 10:38,하나님이 나사렛 예수에게 성령과 능력을 기름붓듯 하셨으매 저가 두루 다니시며 착한 일을 행하시고 마귀에게 눌린 모든 자를 고치셨으니 이는 하나님이 함께 하셨음이라
280,B,,예레미야 31:13,그 때에 처녀는 춤추며 즐거워하겠고 청년과 노인이 함께 즐거워하리니 내가 그들의 슬픔을 돌이켜 즐겁게 하며 그들을 위로하여 근심한 후에 기쁨을 얻게 할 것임이니라
281,C,인물,빌립보서 1:20,나의 간절한 기대와 소망을 따라 아무 일에든지 부끄럽지 아니하고 오직 전과 같이 이제도 온전히 담대하여 살든지 죽든지 내 몸에서 그리스도가 존귀히 되게 하려 하나니
282,C,서사,역대하 33:13,기도한고로 하나님이 그 기도를 받으시며 그 간구를 들으시사 저로 예루살렘에 돌아와서 다시 왕위에 거하게 하시매 므낫세가 그제야 여호와께서 하나님이신 줄을 알았더라
283,A,,에베소서 2:8,너희가 그 은혜를 인하여 믿음으로 말미암아 구원을 얻었나니 이것이 너희에게서 난 것이 아니요 하나님의 선물이라
284,B,,누가복음 1:45,믿은 여자에게 복이 있도다 주께서 그에게 하신 말씀이 반드시 이루리라
285,B,,야고보서 5:11,"보라, 인내하는 자를 우리가 복되다 하나니 너희가 욥의 인내를 들었고 주께서 주신 결말을 보았거니와 주는 가장 자비하시고 긍휼히 여기는 자시니라"
286,B,,베드로전서 5:5,젊은 자들아 이와 같이 장로들에게 순복하고 다 서로 겸손으로 허리를 동이라 하나님이 교만한 자를 대적하시되 겸손한 자들에게는 은혜를 주시느니라
287,A,,마태복음 6:34,그러므로 내일 일을 위하여 염려하지 말라 내일 일은 내일 염려할 것이요 한 날 괴로움은 그 날에 족하니라
288,A,,시편 34:18,여호와는 마음이 상한 자에게 가까이 하시고 중심에 통회하는 자를 구원하시는도다
289,B,,이사야 49:10,그들이 주리거나 목마르지 아니할 것이며 더위와 볕이 그들을 상하지 아니하리니 이는 그들을 긍휼히 여기는 자가 그들을 이끌되 샘물 근원으로 인도할 것임이니라
290,C,난해,잠언 15:24,지혜로운 자는 위로 향한 생명길로 말미암음으로 그 아래 있는 음부를 떠나게 되느니라
291,A,,로마서 12:2,너희는 이 세대를 본받지 말고 오직 마음을 새롭게 함으로 변화를 받아 하나님의 선하시고 기뻐하시고 온전하신 뜻이 무엇인지 분별하도록 하라
292,B,,신명기 3:22,너희는 그들을 두려워하지 말라! 너희 하나님 여호와 그가 너희를 위하여 싸우시리라! 하였노라
293,B,,고린도후서 4:6,어두운데서 빛이 비취리라 하시던 그 하나님께서 예수 그리스도의 얼굴에 있는 하나님의 영광을 아는 빛을 우리 마음에 비취셨느니라
294,C,서사,요한복음 20:20,이 말씀을 하시고 손과 옆구리를 보이시니 제자들이 주를 보고 기뻐하더라
295,C,서사,히브리서 11:7,믿음으로 노아는 아직 보지 못하는 일에 경고하심을 받아 경외함으로 방주를 예비하여 그 집을 구원하였으니 이로 말미암아 세상을 정죄하고 믿음을 좇는 의의 후사가 되었느니라
296,C,서사,사도행전 14:22,제자들의 마음을 굳게 하여 이 믿음에 거하라 권하고 또 우리가 하나님 나라에 들어가려면 많은 환난을 겪어야 할 것이라 하고
297,C,인물,예레미야 1:19,그들이 너를 치나 이기지 못하리니 이는 내가 너와 함께 하여 너를 구원할 것임이니라 여호와의 말이니라
298,C,난해,빌립보서 2:17,만일 너희 믿음의 제물과 봉사 위에 내가 나를 관제로 드릴지라도 나는 기뻐하고 너희 무리와 함께 기뻐하리니
299,C,인물,역대하 6:39,주는 계신 곳 하늘에서 저희의 기도와 간구를 들으시고 저희의 일을 돌아보옵시며 주께 득죄한 주의 백성을 용서하옵소서
300,A,,에베소서 5:8,너희가 전에는 어두움이더니 이제는 주 안에서 빛이라 빛의 자녀들처럼 행하라
301,A,,누가복음 6:37,비판치 말라 그리하면 너희가 비판을 받지 않을 것이요 정죄하지말라 그리하면 너희가 정죄를 받지 않을 것이요 용서하라 그리하면 너희가 용서를 받을 것이요
302,A,,시편 42:11,내 영혼아! 네가 어찌하여 낙망하며 어찌하여 내 속에서 불안하여 하는고 너는 하나님을 바라라! 나는 내 얼굴을 도우시는 내 하나님을 오히려 찬송하리로다
303,B,,이사야 33:6,너의 시대에 평안함이 있으며 구원과 지혜와 지식이 풍성할 것이니 여호와를 경외함이 너의 보배니라
304,A,,잠언 4:6,지혜를 버리지 말라 그가 너를 보호하리라 그를 사랑하라 그가 너를 지키리라
305,C,조각,로마서 5:2,또한 그로 말미암아 우리가 믿음으로 서있는 이 은혜에 들어감을 얻었으며 하나님의 영광을 바라고 즐거워하느니라
306,B,,신명기 7:21,너는 그들을 두려워 말라! 너희 하나님 여호와 곧 크고 두려운 하나님이 너희 중에 계심이니라
307,A,,고린도후서 12:9,내게 이르시기를 내 은혜가 네게 족하도다! 이는 내 능력이 약한데서 온전하여짐이라 하신지라 이러므로 도리어 크게 기뻐함으로나의 여러 약한 것들에 대하여 자랑하리니 이는 그리스도의 능력으로 내게 머물게 하려 함이라
308,B,,요한복음 1:1,태초에 말씀이 계시니라 이 말씀이 하나님과 함께 계셨으니 이 말씀은 곧 하나님이시니라
309,A,,히브리서 13:16,오직 선을 행함과 서로 나눠 주기를 잊지 말라 이같은 제사는 하나님이 기뻐하시느니라
310,C,인물,사도행전 20:24,나의 달려갈 길과 주 예수께 받은 사명 곧 하나님의 은혜의 복음 증거하는 일을 마치려 함에는 나의 생명을 조금도 귀한 것으로 여기지 아니하노라
311,B,,예레미야 1:8,너는 그들을 인하여 두려워 말라 내가 너와 함께 하여 너를 구원하리라 나 여호와의 말이니라 하시고
312,A,,빌립보서 4:6,아무 것도 염려하지 말고 오직 모든 일에 기도와 간구로 너희 구할 것을 감사함으로 하나님께 아뢰라
313,C,인물,역대하 6:19,"그러나 나의 하나님 여호와여, 종의 기도와 간구를 돌아보시며 종이 주의 앞에서 부르짖음과 비는 기도를 들으시옵소서"
314,B,,에베소서 4:2,모든 겸손과 온유로 하고 오래 참음으로 사랑 가운데서 서로 용납하고
315,A,,시편 121:2,나의 도움이 천지를 지으신 여호와에게서로다
316,B,,이사야 57:18,내가 그 길을 보았은즉 그를 고쳐 줄 것이라 그를 인도하며 그와 그의 슬퍼하는 자에게 위로를 다시 얻게 하리라
317,B,,잠언 11:30,의인의 열매는 생명나무라 지혜로운 자는 사람을 얻느니라
318,C,인사,로마서 16:20,평강의 하나님께서 속히 사단을 너희 발 아래서 상하게 하시리라 우리 주 예수의 은혜가 너희에게 있을지어다
319,C,율법,신명기 12:28,내가 네게 명하는 이 모든 말을 너는 듣고 지키라! 네 하나님 여호와의 목전에 선과 의를 행하면 너와 네 후손에게 영원히 복이 있으리라!
320,A,,고린도후서 12:10,"그러므로 내가 그리스도를 위하여 약한 것들과, 능욕과, 궁핍과, 핍박과, 곤란을 기뻐하노니 이는 내가 약할 그 때에 곧 강함이니라"
321,B,,요한복음 1:14,말씀이 육신이 되어 우리 가운데 거하시매 우리가 그 영광을 보니 아버지의 독생자의 영광이요 은혜와 진리가 충만하더라
322,B,,히브리서 3:1,그러므로 함께 하늘의 부르심을 입은 거룩한 형제들아! 우리의 믿는 도리의 사도시며 대제사장이신 예수를 깊이 생각하라!
323,C,서사,사도행전 13:48,이방인들이 듣고 기뻐하여 하나님의 말씀을 찬송하며 영생을 주시기로 작정된 자는 다 믿더라
324,B,,예레미야 20:13,여호와께 노래하라! 너희는 여호와를 찬양하라! 가난한 자의 생명을 행악자의 손에서 구원하셨음이니라
325,A,,빌립보서 2:5,너희 안에 이 마음을 품으라! 곧 그리스도 예수의 마음이니
326,A,,시편 28:7,여호와는 나의 힘과 나의 방패시니 내 마음이 저를 의지하여 도움을 얻었도다 그러므로 내 마음이 크게 기뻐하며 내 노래로 저를 찬송하리로다
327,B,,이사야 51:11,여호와께 구속된 자들이 돌아와서 노래하며 시온으로 들어와서 그 머리 위에 영영한 기쁨을 쓰고 즐거움과 기쁨을 얻으리니 슬픔과 탄식이 달아나리이다
328,B,,잠언 9:11,나 지혜로 말미암아 네 날이 많아질 것이요 네 생명의 해가 더하리라
329,B,,로마서 3:24,그리스도 예수 안에 있는 구속으로 말미암아 하나님의 은혜로 값없이 의롭다 하심을 얻은 자 되었느니라
330,A,,신명기 6:5,"너는 마음을 다하고, 성품을 다하고, 힘을 다하여 네 하나님 여호와를 사랑하라!"
331,A,,고린도후서 9:7,각각 그 마음에 정한 대로 할 것이요 인색함으로나 억지로 하지 말지니 하나님은 즐겨 내는 자를 사랑하시느니라!
332,A,,요한복음 15:11,내가 이것을 너희에게 이름은 내 기쁨이 너희 안에 있어 너희 기쁨을 충만하게 하려 함이니라
333,C,난해,히브리서 10:22,우리가 마음에 뿌림을 받아 양심의 악을 깨닫고 몸을 맑은 물로 씻었으니 참 마음과 온전한 믿음으로 하나님께 나아가자
334,C,인물,사도행전 24:15,저희의 기다리는 바 하나님께 향한 소망을 나도 가졌으니 곧 의인과 악인의 부활이 있으리라 함이라
335,A,,예레미야 17:14,"여호와여, 주는 나의 찬송이시오니 나를 고치소서 그리하시면 내가 낫겠나이다 나를 구원하소서 그리하시면 내가 구원을 얻으리이다"
336,B,,시편 149:4,여호와께서는 자기 백성을 기뻐하시며 겸손한 자를 구원으로 아름답게 하심이로다
337,A,,이사야 43:2,네가 물 가운데로 지날 때에 내가 함께할 것이라 강을 건널 때에 물이 너를 침몰치 못할 것이며 네가 불 가운데로 행할 때에 타지도 아니할 것이요 불꽃이 너를 사르지도 못하리니
338,A,,잠언 11:2,교만이 오면 욕도 오거니와 겸손한 자에게는 지혜가 있느니라
339,B,,로마서 5:5,소망이 부끄럽게 아니함은 우리에게 주신 성령으로 말미암아 하나님의 사랑이 우리 마음에 부은바 됨이니
340,A,,신명기 31:8,여호와 그가 네 앞서 행하시며 너와 함께 하사 너를 떠나지 아니하시며 버리지 아니하시리니 너는 두려워 말라! 놀라지 말라!
341,B,,고린도후서 8:9,우리 주 예수 그리스도의 은혜를 너희가 알거니와 부요하신 자로서 너희를 위하여 가난하게 되심은 그의 가난함을 인하여 너희로 부요케 하려 하심이니라
342,B,,요한복음 16:13,그러하나 진리의 성령이 오시면 그가 너희를 모든 진리 가운데로 인도하시리니 그가 자의로 말하지 않고 오직 듣는 것을 말하시며 장래 일을 너희에게 알리시리라
343,C,난해,히브리서 11:3,믿음으로 모든 세계가 하나님의 말씀으로 지어진 줄을 우리가 아나니 보이는 것은 나타난 것으로 말미암아 된 것이 아니니라
344,C,서사,사도행전 15:11,우리가 저희와 동일하게 주 예수의 은혜로 구원 받는 줄을 믿노라 하니라
